Transaction_Date,Amount,Merchant_Category,Card_Type,Transaction_Type,Country,Is_International,Is_Chip,Is_Pin_Used,Distance_From_Home,Hour_of_Day,Device_Type,Fraud_Flag,Day_of_Week,Is_Weekend,Is_Night,Amount_Avg_Per_Customer,Amount_Diff,High_Deviation,Freq_Transactions,Is_First_Transaction,Suspicious_Distance,No_Pin_Chip,Risk_Score
2025-01-01 07:53:38,471.87,Groceries,Gold,ATM,Singapore,0,1,1,10.07,7,Mobile,0,Wednesday,False,0,198.1914285714286,273.67857142857144,0,7,0,1,0,3.5
2024-01-27 13:18:33,53.66,Online Services,Platinum,Online,Singapore,0,0,0,3.0,13,Web,1,Saturday,True,0,118.3,-64.64,0,6,0,0,1,2.0
2024-10-05 21:24:42,40.75,Online Services,Gold,POS,France,0,1,0,3.0,21,Mobile,1,Saturday,True,0,53.14333333333334,-12.393333333333338,0,6,0,0,0,0.0
2024-06-19 08:07:17,41.44,Online Services,Debit,POS,Canada,0,0,0,17.55,8,Mobile,1,Wednesday,False,0,129.7109090909091,-88.2709090909091,0,11,0,1,1,3.5
2024-04-25 02:05:10,86.78,Health,Debit,Online,Canada,0,0,0,2.76,2,Terminal,1,Thursday,False,1,128.49,-41.71000000000001,0,2,1,0,1,3.3
2025-04-20 21:30:51,123.66,Food,Platinum,Online,USA,0,1,0,1.1,21,Web,0,Sunday,True,0,105.3125,18.3475,0,4,0,0,0,2.0
2024-09-23 04:26:12,60.01,Fuel,Gold,POS,Singapore,0,1,0,2.27,4,Terminal,1,Monday,False,1,119.33285714285714,-59.32285714285714,0,7,1,0,0,1.3
2024-10-08 22:14:50,92.89,Utilities,Credit,POS,USA,0,0,1,4.91,22,Mobile,1,Tuesday,False,0,193.80875,-100.91875,0,8,1,1,0,1.5
2024-06-28 03:29:49,278.88,Entertainment,Credit,POS,Germany,0,0,0,0.96,3,Web,0,Friday,False,1,155.4011111111111,123.47888888888886,0,9,1,0,1,5.3
2025-01-31 01:17:31,25.49,Fuel,Credit,Online,UK,1,0,0,2.26,1,Web,1,Friday,False,1,58.34400000000001,-32.85400000000001,0,5,0,0,1,5.3
2025-03-16 13:32:22,71.19,Clothing,Gold,ATM,Australia,0,0,1,29.85,13,Web,1,Sunday,True,0,103.83727272727272,-32.647272727272735,0,11,0,1,0,1.5
2024-03-01 23:19:14,42.69,Groceries,Debit,Online,Canada,0,0,0,10.56,23,Mobile,0,Friday,False,0,186.24,-143.55,0,8,0,1,1,3.5
2024-08-25 00:14:27,28.37,Groceries,Credit,POS,Canada,0,0,0,0.88,0,Terminal,1,Sunday,True,1,157.24769230769232,-128.8776923076923,0,13,0,0,1,3.3
2024-08-25 06:13:12,195.41,Electronics,Gold,Online,Singapore,0,0,1,5.58,6,Web,1,Sunday,True,0,110.87,84.53999999999999,0,7,0,1,0,3.5
2024-05-28 00:14:37,87.43,Fuel,Credit,ATM,Singapore,0,0,1,0.04,0,Terminal,1,Tuesday,False,1,92.60666666666668,-5.176666666666662,0,3,1,0,0,1.3
2024-02-23 18:46:16,152.4,Electronics,Debit,ATM,Australia,0,0,0,13.48,18,Terminal,0,Friday,False,0,130.522,21.87800000000001,0,5,0,1,1,5.5
2025-03-16 09:42:41,335.85,Utilities,Credit,POS,Australia,0,0,0,2.68,9,Mobile,1,Sunday,True,0,129.7375,206.1125,0,8,0,0,1,4.0
2024-10-07 03:51:58,393.39,Clothing,Debit,ATM,France,0,1,1,2.81,3,Web,0,Monday,False,1,190.908,202.482,0,5,0,0,0,3.3
2025-07-31 18:42:28,28.74,Health,Debit,ATM,UK,1,0,0,1.89,18,Terminal,0,Thursday,False,0,130.7057142857143,-101.96571428571428,0,7,0,0,1,4.0
2025-06-29 14:49:47,234.06,Food,Credit,ATM,Singapore,0,0,0,7.83,14,Mobile,0,Sunday,True,0,143.6342857142857,90.42571428571428,0,7,1,1,1,5.5
2025-07-07 14:27:46,256.38,Fuel,Credit,ATM,Singapore,0,1,0,11.37,14,Terminal,0,Monday,False,0,278.625,-22.245000000000005,0,4,1,1,0,3.5
2025-04-11 17:34:57,48.88,Entertainment,Gold,POS,France,0,0,0,5.22,17,Web,1,Friday,False,0,80.50571428571428,-31.625714285714277,0,7,0,1,1,3.5
2025-06-04 03:51:37,33.36,Food,Credit,POS,India,0,1,0,24.45,3,Terminal,1,Wednesday,False,1,43.51,-10.15,0,3,0,1,0,2.8
2024-10-06 05:39:58,12.6,Utilities,Gold,POS,India,0,1,0,6.67,5,Web,0,Sunday,True,1,98.25666666666666,-85.65666666666667,0,6,0,1,0,2.8
2024-05-10 19:57:29,359.44,Fuel,Credit,Online,USA,0,0,1,2.33,19,Terminal,1,Friday,False,0,157.4611111111111,201.9788888888889,0,9,0,0,0,2.0
2025-06-15 23:39:21,33.98,Groceries,Debit,POS,Singapore,0,0,0,0.29,23,Web,0,Sunday,True,0,206.43400000000003,-172.45400000000004,0,5,0,0,1,2.0
2025-07-24 00:38:57,321.0,Clothing,Gold,POS,India,0,1,0,16.57,0,Terminal,1,Thursday,False,1,231.665,89.33499999999998,0,2,1,1,0,4.8
2024-12-14 04:28:11,114.83,Clothing,Platinum,POS,India,0,0,0,0.47,4,Web,0,Saturday,True,1,108.63875,6.191249999999997,0,8,0,0,1,5.3
2025-04-13 00:05:56,283.49,Utilities,Gold,ATM,India,0,1,0,4.39,0,Web,0,Sunday,True,1,175.322,108.168,0,5,1,1,0,4.8
2025-07-21 00:04:34,142.33,Entertainment,Credit,POS,Canada,0,0,0,19.0,0,Web,0,Monday,False,1,120.9975,21.33250000000001,0,8,0,1,1,6.8
2024-09-09 19:19:10,105.83,Electronics,Platinum,ATM,Singapore,0,1,0,3.4,19,Web,1,Monday,False,0,141.6025,-35.772499999999994,0,8,0,0,0,0.0
2024-03-13 21:03:43,35.33,Food,Credit,Online,Singapore,0,0,0,11.35,21,Mobile,1,Wednesday,False,0,217.222,-181.892,0,5,0,1,1,3.5
2024-08-08 22:25:36,25.09,Electronics,Platinum,POS,Germany,1,1,0,11.26,22,Terminal,1,Thursday,False,0,126.42461538461538,-101.33461538461538,0,13,0,1,0,3.5
2024-09-24 14:37:01,1040.87,Online Services,Credit,Online,France,0,1,1,2.07,14,Web,1,Tuesday,False,0,258.721,782.1489999999999,1,10,0,0,0,2.0
2025-02-07 09:40:24,36.61,Health,Credit,ATM,India,0,1,0,0.13,9,Terminal,0,Friday,False,0,199.0758333333333,-162.4658333333333,0,12,0,0,0,0.0
2025-06-15 08:15:37,280.14,Online Services,Credit,Online,Germany,0,0,0,2.02,8,Mobile,1,Sunday,True,0,133.14374999999998,146.99625,0,8,0,0,1,4.0
2024-06-08 08:37:09,128.27,Groceries,Platinum,POS,India,0,1,0,1.44,8,Terminal,1,Saturday,True,0,156.87,-28.599999999999994,0,5,0,0,0,2.0
2025-09-20 18:19:59,59.01,Groceries,Gold,POS,France,0,0,0,17.6,18,Mobile,1,Saturday,True,0,68.0575,-9.047500000000008,0,4,0,1,1,3.5
2024-03-07 17:32:19,116.19,Health,Credit,POS,Australia,0,0,0,7.62,17,Mobile,1,Thursday,False,0,210.5533333333333,-94.36333333333332,0,6,0,1,1,5.5
2024-04-11 13:00:20,4.21,Utilities,Platinum,ATM,UK,0,0,0,0.16,13,Mobile,0,Thursday,False,0,189.018,-184.808,0,5,0,0,1,2.0
2024-11-03 03:47:03,155.27,Electronics,Credit,ATM,Germany,1,1,0,0.81,3,Mobile,1,Sunday,True,1,89.34666666666668,65.92333333333333,0,3,0,0,0,5.3
2024-03-12 07:54:49,517.81,Groceries,Credit,POS,Germany,0,0,1,1.05,7,Mobile,1,Tuesday,False,0,257.998,259.81199999999995,0,5,0,0,0,2.0
